Author_id,Name
273,frank m. robinson
274,mary jane clark
275,"mary shelley,dover thrift editions"
276,robert westall
277,robert b. parker
278,rita chapman works
279,"douglas adams,mark carwardine"
280,a. manette ansay
281,sarah waters
282,anne frank
283,barry lopez
284,greg palast
285,andrea kane
286,nevada barr
287,margaret maron
288,"edna barker,shelagh rogers"
289,muriel whitaker
290,john irving
291,"william golding,hermann stiehl"
292,harperreference
293,ltd
294,ann patchett
295,"roald dahl,lane smith"
296,"sue monk; sue monk kidd kidd,roseanne j. serra (co"
297,"bob thiele,bob golden,steve allen"
298,colleen mccullough
299,joanne harris
300,thomas cahill
301,michael hudson
302,jane smiley
303,dick francis
304,nora roberts
305,"jean marzollo,walter wick,carol devine carson"
306,"jean marzollo,walter wick"
307,barbara delinsky
308,p. d. james
309,arthur w. upfield
310,christopher rice
311,rex stout
312,joan anderson
313,vance havner
314,warren w. wiersbe
315,max lucado
316,larry crabb
317,barry neil kaufman
318,bob sjogren
319,frederick j. moody
320,neal pirolo
321,william sleator
322,antoine de saint-exupery
323,richard bach
324,kevin sullivan
325,michele morgan
326,scott cunningham
327,david allen hulse
328,richard webster
329,bernard king
330,"pat hutchins,pat hutchins"
331,"william shakespeare,roma gill"
332,melissa mcclone
333,cheryl st. john
334,"lewis carroll,martin gardner"
335,mark twain
336,"mary crow dog,richard erdoes"
337,linda gordon
338,florence king
339,alice sebold
340,spalding gray
341,thomas harris
342,edward rutherfurd
343,margaret atwood
344,dorothy allison
345,maya angelou
346,edith wharton
347,mary brave bird
348,"john g. neihardt,vine deloria jr."
349,roland warren
350,johnny molloy
351,"james mccourt,wayne koestenbaum"
352,elizabeth wurtzel
353,bill bradley
354,don miguel ruiz
355,paul lester
356,leo tolstoy
357,simon nye
358,robert a johnson
359,marc gascoigne
360,stephanie maze
361,sandra dallas
362,anne mccaffrey
363,david gemmell
364,laura zigman
365,margaret truman
366,mark c. young
367,"paula danziger,tony ross"
368,"richard a. lupoff,bruce coville"
369,carrie a. bebris
370,ellen carol dubois
371,candice f. ransom
372,"sam bobrick,julie stein,price stern sloan"
373,"anna, and vogel, malvina (editor) sewell"
374,"charles dickens,marian leighton"
375,"donna k. grosvenor,james l. stanfield"
376,"mary wollstonecraft shelley,d. j. arneson,eva clif"
377,nathaniel hawthorne
378,valerie block
379,luanne rice
380,t. coraghessan boyle
381,ellen gilchrist
382,tim gautreaux
383,richard russo
384,jostein gaarder
385,anna quindlen
386,diane johnson
387,wally lamb
388,adeline yen mah
389,barbara ehrenreich
390,dorothy dunnett
391,john lecarre
392,singer media corporation
393,emily dickinson
394,hazel harrison
395,joseph girzone
396,joseph f. girzone
397,lorraine anderson
398,ad hudler
399,josephine carlton
400,"ted l. nancy,jerry seinfeld"
401,francis wheen
402,"ellen rimbauer,joyce reardon,steven rimbauer"
403,sidney sheldon
404,"christopher moore,pamela johnson"
405,robert lacey
406,tim dorsey
407,jodi compton
408,elmore leonard
409,lynn coady
410,john lawton
411,eileen yin-fei lo
412,tilden edwards
413,vikram seth
414,"elizabeth gaskell,elizabeth porges watson"
415,anita diamant
416,lauren haney
417,gerald stern
418,martha grimes
419,henry james
420,sarah orne jewett
421,william carlos williams
422,rh value publishing
423,harry kemelman
424,mil millington
425,"suzanne g. farnham,joseph p. gill,r. taylor mclean"
426,czeslaw milosz
427,margaret guenther
428,"roberto juarroz,mary crow"
429,"hans kmoch,barnie f. winkelman"
430,"emma mclaughlin,nicola kraus"
431,paul jennings
432,mark e. neely jr.
433,"stephen j. weininger,frank r. stermitz"
434,larry katzenstein
435,david steinman
436,alfie kohn
437,paula polk lillard
438,david lewis
439,billie livingston
440,adele lang
441,jen banbury
442,patricia daniels cornwell
443,catherine coulter
444,dominick dunne
445,clive cussler
446,john pascal
447,"carl hiaasen,diane stevenson"
448,jonathan safran foer
449,francesca marciano
450,julia glass
451,tawni o'dell
452,jennifer weiner
453,danielle steel
454,leon hale
455,russell banks
456,samuel taylor coleridge
457,"bradley p warshauer,bradley p. warshauer"
458,bobbie ann mason
459,karen robards
460,emma lathen
461,faye kellerman
462,jacquelyn mitchard
463,diane mott davidson
464,candace bushnell
465,kristin hannah
466,michael marshall
467,allen widome
468,wilbur smith
469,"mike thaler,jared lee"
470,michael slade
471,"john sandford,john camp"
472,tami hoag
473,ted dekker
474,angela hunt
475,c. s. lewis
476,c. s lewis
477,will eisner
478,robin cook
479,e. lynn harris
480,linda goodman
481,anne rice
482,judith rossner
483,marilyn french
484,wayne w. dyer
485,armistead maupin
486,julie morgenstern
487,peter straub
488,"james maybrick,shirley harrison"
489,barbara taylor bradford
490,lisa jackson
491,sharyn mccrumb
492,cokie roberts
493,"shana corey,mark teague"
494,"jesse s. ostrow,charles shaw"
495,"justine korman,bill langley,ron dias,walt disney p"
496,patricia reilly giff
497,beverly cleary
498,k.a. applegate
499,"jane yolen,mark teague"
500,golden books
501,marvin miller
502,craig boldman
503,"h. g. wells,raymond james,jim deal"
504,bobbie kalman
505,mercedes lackey
506,dorothy gilman
507,moveon.org
508,christopher finch
509,charles frazier
510,julia spencer-fleming
511,fannie flagg
512,laura ingall wilder
513,"frank mccourt,brooke zimmer,john fontana"
514,lisa gardner
515,"beverly cleary,tracy dockray"
516,gertrude chandler warner
517,lynn s. hightower
518,eric schlosser
519,suzanne brockmann
520,gail carson levine
521,frances kuffel
522,susan conant
523,david schickler
524,judith mcnaught
525,janet evanovich
526,sylvia plath
527,ilona koidahl
528,fern michaels
529,betsy byars
530,bruce sterling
531,sarah ban breathnach
532,alice hoffman
533,lisa scottoline
534,"spencer johnson,kenneth blanchard"
535,"david feldman,kas schwan"
536,richard bausch
537,katie fforde
538,james burke
539,bliss broyard
540,sara paretsky
541,charles webb
542,elizabeth benedict
543,stanley morison; brooke crutchley (editor); mike p
544,henry miller
545,david whyte
546,"thomas cummings,warren bennis,gretchen m. spreitze"
547,martha beck
548,desmond tutu
549,"clayborne carson,kris shepard,andrew young"
550,"jack kerouac,ann charters"
551,"martin buber,walter kaufmann"
552,"niccolò machiavelli,n. h. thompson"
553,paul monette
554,ernest hemingway
555,melody carlson
556,alisa kwitney
557,billie letts
558,melissa bank
559,"rena kornreich gelissen,heather dune macadam"
560,moon unit zappa
561,ted mooney
562,susan wiggs
563,gwyn hyman rubio
564,elisabeth robinson
565,audrey niffenegger
566,tim farrington
567,chaim potok
568,scott spencer
569,v. s. naipaul
570,"jean giono,anne-marie marina-médiavilla"
571,"alain-fournier,daniel leuwers"
572,"erich maria remarque,alzir hella,olivier bournac"
573,roy lewis
574,rené barjavel
575,"alexandra david-néel,alexandra david-néel"
576,"charles baudelaire,marie-jeanne durry,yves florenn"
577,"ray bradbury,jacques chambon,henri robillot"
578,radiguet
579,"emile zola,henri mitterand"
580,"jean giono,willi glasauer"
581,louis pergaud
582,collectif
583,robert a. (anson) heinlein
584,sten nadolny
585,"cheryl benard,edit schlaffer"
586,christa wichterich
587,john blofeld
588,christine obbo
589,peter b heim
590,hera lind
591,"arundhati roy,anette grube"
592,jane hamilton
593,jack higgins
594,max allan collins
595,david guterson
596,"bernhard schlink,carol brown janeway"
597,eric jerome dickey
598,patricia gaffney
599,richard paul evans
600,marc levy
601,laney katz becker
602,vladimir nabokov
603,jennifer lauck
604,joe keenan
605,jeanne ray
606,tony parsons
607,jane mccafferty
608,"laura esquivel,cathleen toelke,carol &amp; thomas"
609,j.r.r. tolkien
610,venise berry
611,jan karon
612,cormac mccarthy
613,"mary higgins clark,carol higgins clark"
614,"james patterson,andrew gross"
615,travis thrasher
616,"john mcenroe,john kaplan"
617,sally mandel
618,linda lay shuler
619,janet dailey
620,"claude lanzmann,simone de beauvoir"
621,"lemony snicket,brett helquist"
622,matthew thomas
623,"boris vian,noël arnaud"
624,"gabriel garcia marquez,claude couffon"
625,luis sepulveda
626,hubert selby
627,jacob weisberg
628,david lodge
629,lily seafield
630,philip ardagh
631,iain banks
632,david crombie
633,john steinbeck
634,michael o'mara
635,richard brassey
636,"william vance,jean van hamme"
637,r. w. holder
638,from the editors of southwater
639,bernard werber
640,andy sloss
641,"allan zola kronzek,elizabeth kronzek"
642,charles l squire
643,gordon jarvie
644,boris vian
645,alan spence
646,"helene siegel,karen gillingham"
647,a a milne
648,a. a. milne
649,eric thompson
650,elizabeth strout
651,david sedaris
652,leslie feinberg
653,chris anne wolfe
654,lauren sanders
655,gael baudino
656,lauren maddison
657,carol anshaw
658,jean stewart
659,emma donoghue
660,deborah e. mcdowell
661,karen x. tulchinsky
662,jill thompson
663,jody seay
664,manda scott
665,jeff foxworthy
666,terry brooks
667,a.c. crispin
668,madelyn arnold
669,tamora pierce
670,carolyn chute
671,sara orwig
672,melisa michaels
673,isobel bird
674,"frederik pohl,c. m. kornbluth"
675,vonda mcintyre
676,john varley
677,nancy garden
678,nicola griffith
679,julie campbell
680,lee smith
681,jacqueline woodson
682,pat summitt
683,richard belzer
684,nick hornby
685,andrew l johnson
686,marian babson
687,"kathleen o'neal gear,w. michael gear"
688,paul phifer
689,peter hoeg
690,erma bombeck
691,john mortimer
692,e.l. doctorow
693,simon schama
694,frank waters
695,karen hesse
696,"kenneth oppel,s.d. schindler"
697,"carol ryrie brink,richard mantel"
698,k. a. applegate
699,"c. s. lewis,pauline baynes"
700,shelly roberts
701,diane duane
702,carolee brockman
703,rachel roberts
704,"shelley roberts,rachel roberts"
705,lensey namioka
706,jackie eileen behrend
707,"andrew clements,brian selznick"
708,lois lowry
709,"brother yun,paul hattaway"
710,katherine khodorowsky
711,milena moser
712,patricia highsmith
713,"ken follett,gabriele conrad,lore straßl"
714,"ken follett,jürgen speh,till r. lohmeyer,gabriele"
715,stephen r. donaldson
716,bernhard schlink
717,"ellen rimbauer,joyce reardon,stephen king"
718,"todd herzog,sander gilman"
719,john borneman
720,robert s. mcelvaine
721,bram stoker
722,michael a. stackpole
723,langston hughes
724,carol matthews
725,carole matthews
726,"jacqueline l. tobin,raymond g. dobard,maude s. wah"
727,marion zimmer bradley
728,andrei codrescu
729,carolyne aarsen
730,jack chapman
731,anthony j alessandra
732,charles r swindoll
733,orson scott card
734,"v. a. howard,j. h. barton"
735,"tom clancy,steve pieczenik"
736,walter p. wilson
737,"bruce fries,marty fries"
738,rush limbaugh
739,anne dingus
740,kate chopin
741,"kirk kazanjian,kirk kazanjian"
742,donald merriam allen
743,"william r. maples,michael browning"
744,carl hausman
745,richard peck
746,michael connelly
747,john lescroart
748,john jakes
749,alice mcdermott
750,hilary bailey
751,howard fast
752,"jessica fletcher,donald bain"
753,eileen goudge
754,arnette lamb
755,"piers anthony,piers a. jacob"
756,"anne rice,michael schulte"
757,walter cronkite
758,tom mula
759,lois faye dyer
760,sharon lamb
761,sir arthur conan doyle
762,agatha christie
763,mark cohen
764,"sherry shahan,betsy haynes"
765,helen r. myers
766,della rowland
767,irving adler
768,elizabeth peters
769,shirlee busbee
770,emily brontë
771,frank peretti
772,john a. keel
773,jan gabriel
774,rebecca winters
775,meg cabot
776,tanith lee
777,cathy thacker
778,richard burton
779,jeffrey eugenides
780,beverly hastings
781,"savinien cyrano de bergerac,g. strachan"
782,james c. robertson
783,teresa southwick
784,"kate chopin,barbara h. solomon"
785,judith guest
786,sandra field
787,helen brooks
788,"blanche fisher wright,blanche fish wright"
789,george gately
790,dean r. koontz
791,james lee burke
792,michael chabon
793,barbara michaels
794,"norton juster,jules feiffer"
795,michael blake
796,john bellairs
797,carl hiaasen
798,carole nelson douglas
799,william goldman
800,marc reisner
801,mark bowden
802,jonathan pearce
803,emily bronte
804,alain de botton
805,chuck palahniuk
806,e. annie proulx
807,adam davies
808,harry m. walker
809,nicholas evans
810,l.m. montgomery
811,hermann vinke
812,david mitchell
813,charles bukowski
814,jack kerouac
815,haruki murakami
816,"haruki murakami,jay rubin"
817,"frances hodgson burnett,gabriela dellosso"
818,patricia c. wrede
819,"jack london,alex kershaw"
820,"bruce wilkinson,david kopp"
821,malcolm goodway
822,ann-marie macdonald
823,linda howard
824,sue miller
825,sheri s. tepper
826,"dr. seuss,theodor seuss geisel"
827,tobias wolff
828,"isaac bashevis singer,maurice sendak"
829,gary zukav
830,"alfred h. kelly,herman belz,winifred a. harbison"
831,emile zola
832,"plato,john m. cooper,d. s. hutchinson,john m. coop"
833,jonathan franzen
834,b kliban
835,judy blunt
836,william trevor
837,alice walker
838,stephen gazi
839,wallace stegner
840,don delillo
841,ralph ellison
842,"shel silverstein,shel silverstein"
843,jhumpa lahiri
844,"liz trigg,tessa evelegh,stewart walton,sally walto"
845,charles sullivan
846,tom robbins
847,ursula hegi
848,"samuel richardson,george sherburn"
849,valerie martin
850,gill farrer-halls
851,"john mordock,myron korach"
852,susan bowes
853,diana gabaldon
854,zadie smith
855,natalie goldberg
856,sue grafton
857,william j. kennedy
858,bob shacochis
859,randy alcorn
860,"nancy cobb,connie grigsby"
861,"margriet de moor,helga van beuningen"
862,dale carnegie
863,clifford stoll
864,sandra cisneros
865,gary paulsen
866,"marguerite henry,wesley dennis"
867,sherry garland
868,"carl sagan,ann druyan"
869,kimberly kirberger
870,ariella papa
871,michael j. rosen
872,"dawn chipman,pamela nelson,mari florence,naomi wax"
873,shannon olson
874,naylor
875,mary wollstonecraft shelley
876,karen stolz
877,clare naylor
878,stephen chbosky
879,"margaret weis,tracy hickman"
880,ivan doig
881,"isabel allende,margaret sayers peden"
882,sylvia nasar
883,ha jin
884,elizabeth laird
885,harlan ellison
886,"isabel allende,margaret sayers peden from the span"
887,"david m. gitlitz,dr. linda kay davidson"
888,wolfgang hohlbein
889,christoph hein
890,gaby hauptmann
891,carolyn see
892,christa wolf
893,thomas brussig
894,piers vitebsky
895,christopher a. weidner
896,robert silverberg
897,"jostein gaarder,gabriele haefs"
898,"j.r.r. tolkien,christopher tolkien"
899,h.p. lovecraft
900,pamela grim
901,arthur c. clarke
902,jay bennett
903,j. applegate
904,michael j. straczynski
905,john myers myers
906,reay tannahill
907,jack whyte
908,peter matthiessen
909,paul kent
910,"robin mckinley,patricia mckillip,joan vinge,james"
911,"hank whittemore,caroline hebard"
912,ellyn satter
913,bill brittain
914,august wilson
915,marilynne robinson
916,sigrid nunez
917,paul auster
918,amanda scott
919,john fowles
920,fodor's
921,a'lelia bundles
922,dorothy l. sayers
923,jude deveraux
924,anne morrow lindbergh
925,laurie r. king
926,jeanne duprau
927,louise erdrich
928,melinda haynes
929,"belle yang,amy tan"
930,carol shields
931,tim powers
932,jean lorrah
933,oscar wilde
934,"samuel taylor coleridge,john beer"
935,"paulo coelho,cordula swoboda herzog"
936,barbara erskine
937,annegrit arens
938,"nicholas sparks,susanne höbel"
939,hans j. alpers
940,jerome d. salinger
941,hermann hesse
942,"claudia von zglinicki,thorsten futh"
943,"linda lael miller,anna jennet,elaine crawford,dian"
944,jane feather
945,william r. forstchen
946,spider robinson
947,dennis l. mckiernan
948,rush
949,lionel fenn
950,carole halston
951,christine rimmer
952,bj james
953,truman capote
954,"beth nimmo,darrell scott,steve rabey"
955,"johann wolfgang von goethe,michael hulse,michael h"
956,thomas elsaesser
957,adrian plass
958,"adrian plass,bridget plass"
959,stephen quirke
960,james herbert
961,william sutcliffe
962,"janosch,janosch"
963,"jean de brunhoff,jean debrunhoff"
964,philippe fix
965,claudia keller
966,"f. paul wilson,wulf bergner"
967,"arnold a. lazarus,clifford n. lazarus,christoph tr"
968,"clarissa pinkola estés,mascha rabben"
969,"virginia allen jensen,dorcas woodbury haller"
970,janosch
971,"john paul allen,alan m. clark"
972,christopher moore
973,hubert jr selby
974,g. b. trudeau
975,gary larson
976,garrison keillor
977,berke breathed
978,barbara ann kipfer
979,stephen fried
980,george stephanopoulos
981,rita mae brown
982,"louisa may alcott,elaine showalter,elaine showalte"
983,"cornelia funke,oliver latsch"
984,"stan lee,j kirby"
985,camille paglia
986,james kahn
987,"louisa may alcott,devra newberger speregen,richard"
988,james mcbride
989,"louis sachar,adam mccauley"
990,eric van lustbader
991,robert asprin
992,"anne frank,b.m. mooyaart,eleanor roosevelt"
993,marshall govindan
994,nomi eve
995,bruce catton
996,william gibson
997,clement eaton
998,h.g. wells
999,"terry brooks,darrell k. sweet"
1000,judy collins
1001,oliver sacks
1002,annette broadrick
1003,rachel cohn
1004,carolyn keene
1005,rachel naomi remen
1006,jayne ann krentz
1007,joan smith
1008,"kaye gibbons,kaye gibbons"
1009,bryn c. collins
1010,"peter jennings,todd brewster"
1011,eliza osborne
1012,howard norman
1013,john griesemer
1014,marly a. swick
1015,john l'heureux
1016,molly ivins
1017,forrest carter
1018,umberto eco
1019,greg bear
1020,"neil gaiman,terry pratchett"
1021,kathy reichs
1022,jeffrey deaver
1023,martin cruz smith
1024,v.c. andrews
1025,stephen hill
1026,e.w. heine
1027,donna fletcher
1028,jeanne larsen
1029,bari wood
1030,james gould cozzens
1031,"reidar jonsson,marianne ruuth"
1032,june vendall clark
1033,robert reilly
1034,kem nunn
1035,larry king
1036,ernest j. gaines
1037,anne lamott
1038,bret lott
1039,zora neale hurston
1040,jude fisher
1041,salman rushdie
1042,g. p. taylor
1043,bill bryson
1044,"anne mccaffrey,ron walotsky"
1045,judy astley
1046,roger e. allen
1047,"margaret tempest,margaret tempest"
1048,"enid blyton,maureen bradley"
1049,james barclay
1050,kahlil gibran
1051,libby purves
1052,jane kirkpatrick
1053,tess gerritsen
1054,olive ann burns
1055,"michael ende,ralph manheim"
1056,annie proulx
1057,"corrie ten boom,john sherrill,elizabeth sherrill"
1058,"bodie thoene,brock thoene"
1059,marlo schalesky
1060,michael paterniti
1061,dorothy r. miller
1062,steve martin
1063,banana yoshimoto
1064,ann rae jonas
1065,reader's digest
1066,"joseph campbell,bill moyers"
1067,dyanne gibson
1068,isaac asimov
1069,bruce coville
1070,edwidge danticat
1071,joe r lansdale
1072,"arturo perez-reverte,margaret jull costa"
1073,sheila o'connor
1074,erik larson
1075,saul bellow
1076,dan millman
1077,ned vizzini
1078,laurie halse anderson
1079,chris wooding
1080,mary mcgarry morris
1081,brian o'leary
1082,"brian o'leary,meredith miller"
1083,david peat
1084,l. ron hubbard
1085,jeffery deaver
1086,stephen coonts
1087,john whitman
1088,peter kummer
1089,sven regener
1090,wendy leigh
1091,dorothy sterling
1092,frances hodgson burnett
1093,"b. k. s. iyengar,yehudi menuhin"
1094,kate atkinson
1095,susan m. mcintosh
1096,thomas nelson
1097,diane muldrow
1098,robert bloch
1099,mollie molay
1100,grace collins
1101,judy blume
1102,jonathan rabb
1103,patrick robinson
1104,robert t. bakker
1105,fred saberhagen
1106,richard moran
1107,michael dimercurio
1108,wilkie collins
1109,randall wallace
1110,rhoda huffey
1111,calvin trillin
1112,rachel simon
1113,nick earls
1114,carol emshwiller
1115,edith konecky
1116,"william shakespeare,e. a. j. honigmann"
1117,jonathan harr
1118,"ayn rand,leonard peikoff"
1119,"jane austen,graham hough,graham hough"
1120,alexandre dumas
1121,dorothy garlock
1122,raymond chandler
1123,whitney otto
1124,kaye gibbons
1125,"anita shreve,virginia barber"
1126,"gabriel garcia marquez,edith grossman"
1127,michael cunningham
1128,diane ackerman
1129,susan isaacs
1130,roald dahl
1131,"douglas preston,lincoln child"
1132,kim stanley robinson
1133,"william safire,vincent torre"
1134,leslie glass
1135,cathy cash spellman
1136,"grace slick,andrea cagan"
1137,jerry bledsoe
1138,jane sigaloff
1139,marian keyes
1140,melissa rossi
1141,jackie collins
1142,drew barrymore
1143,carrie alexander
1144,lori handeland
1145,debra salonen
1146,deborah laake
1147,margaret way
1148,marisa carroll
1149,"eduardo duran,bonnie duran"
1150,dave eggers
1151,hernando de soto
1152,julie miller
1153,jasper fforde
1154,wendy holden
1155,sebastian faulks
1156,sue margolis
1157,dora levy mossanen
1158,sheri holman
1159,jacqueline susann
1160,stephanie laurens
1161,jane mendelsohn
1162,madge swindells
1163,"j.r.r. tolkien,j.r.r. tolkien"
1164,richard adams
1165,john colapinto
1166,ildikó von kürthy
1167,john mcphee
1168,kurt vonnegut
1169,"veronique vienne,erica lennard"
1170,"sándor márai,carol brown janeway"
1171,"tom clancy,martin greenberg,heiner friedlich"
1172,mark a. s. mcmenamin
1173,nancy k robinson
1174,jillian lund
1175,ann rinaldi
1176,scott o'dell
1177,thomas rockwell
1178,louise plummer
1179,david j. duncan
1180,richard awlinson
1181,"richard awlinson,jeff easley"
1182,john  sandford
1183,patricia kennealy-morrison
1184,john sandford
1185,julie e. czerneda
1186,eva heller
1187,jan mcdaniel
1188,genell dellin
1189,"betty neels,carole mortimer,rebecca winters"
1190,barbara dolan
1191,viveca carlysle
1192,judy jackson
1193,lewis orde
1194,"anonymous teenager,beatrice sparks"
1195,peter mayle
1196,"philip k. dick,roger zelazny"
1197,douglas kennedy
1198,philip k. dick
1199,"philip k. dick,robert louit"
1200,"philip k. dick,bruno martin"
1201,aldous huxley
1202,edgar allen poe
1203,paulo coelho
1204,"mark z. danielewski,claro"
1205,"makyo,vicomte"
1206,"adams douglas,jean bonnefoy"
1207,albert camus
1208,"stan berenstain,jan berenstain"
1209,a.j. wood
1210,"sunny griffin,richard kolding"
1211,"disney staff; pixar animation studios staff,disney"
1212,maida silverman
1213,jean giraudoux
1214,"antony mason,andrew s. hughes,jen green"
1215,"lynne reid banks,brock cole"
1216,"h.g. wells,john calvin batchelor"
1217,carolyn wheat
1218,dan simmons
1219,ros stanley
1220,r. l. stine
1221,"steve skidmore,steve barlow"
1222,matt christopher
1223,"janet evanovich,lorelei king"
1224,"marilyn penovich friend,william d. bursuck"
1225,"brian herbert,kevin j anderson"
1226,"c. a. stephens,stephens,larry glatz"
